,land,date,driving,walking,transit
31353,Berlin,2020-05-19,89.47,62.96,51.29
31354,Berlin,2020-05-20,97.14,67.39,52.19
31355,Berlin,2020-05-21,86.2,74.98,51.08
31356,Berlin,2020-05-22,84.32,67.4,50.02
31357,Berlin,2020-05-23,74.76,61.63,46.06
31358,Berlin,2020-05-24,73.84,43.29,43.41
31359,Berlin,2020-05-25,91.98,57.29,53.28
31360,Berlin,2020-05-26,96.21,71.07,56.72
31361,Berlin,2020-05-27,97.49,70.67,58.38
31362,Berlin,2020-05-28,102.87,71.69,57.84
31363,Berlin,2020-05-29,110.96,77.26,60.12
31364,Berlin,2020-05-30,91.75,82.52,57.9
31365,Berlin,2020-05-31,85.44,75.78,53.42
31366,Berlin,2020-06-01,109.25,85.99,63.68
31367,Berlin,2020-06-02,112.07,84.53,69.4
31368,Berlin,2020-06-03,109.22,83.04,68.62
31369,Berlin,2020-06-04,103.75,72.7,64.38
31370,Berlin,2020-06-05,107.43,80.62,67.47
31371,Berlin,2020-06-06,98.15,89.15,69.16
31372,Berlin,2020-06-07,95.48,70.9,58.92
31373,Berlin,2020-06-08,105.25,80.73,67.12
31374,Berlin,2020-06-09,107.04,83.35,69.75
31375,Berlin,2020-06-10,110.75,83.42,68.8
39072,Brandenburg,2020-01-13,100.0,,
39073,Brandenburg,2020-01-14,99.48,,
39074,Brandenburg,2020-01-15,98.34,,
39075,Brandenburg,2020-01-16,103.82,,
39076,Brandenburg,2020-01-17,113.46,,
39077,Brandenburg,2020-01-18,105.06,,
39078,Brandenburg,2020-01-19,113.24,,
39079,Brandenburg,2020-01-20,102.79,,
39080,Brandenburg,2020-01-21,101.74,,
39081,Brandenburg,2020-01-22,98.66,,
39082,Brandenburg,2020-01-23,99.35,,
39083,Brandenburg,2020-01-24,106.63,,
39084,Brandenburg,2020-01-25,101.63,,
39085,Brandenburg,2020-01-26,105.98,,
39086,Brandenburg,2020-01-27,104.82,,
39087,Brandenburg,2020-01-28,103.58,,
39088,Brandenburg,2020-01-29,99.99,,
39089,Brandenburg,2020-01-30,104.41,,
39090,Brandenburg,2020-01-31,127.47,,
39091,Brandenburg,2020-02-01,106.45,,
39092,Brandenburg,2020-02-02,105.51,,
39093,Brandenburg,2020-02-03,100.08,,
39094,Brandenburg,2020-02-04,100.25,,
39095,Brandenburg,2020-02-05,98.28,,
39096,Brandenburg,2020-02-06,99.21,,
39097,Brandenburg,2020-02-07,113.89,,
39098,Brandenburg,2020-02-08,113.78,,
39099,Brandenburg,2020-02-09,109.3,,
39100,Brandenburg,2020-02-10,103.86,,
39101,Brandenburg,2020-02-11,103.46,,
39102,Brandenburg,2020-02-12,102.77,,
39103,Brandenburg,2020-02-13,106.58,,
39104,Brandenburg,2020-02-14,119.87,,
39105,Brandenburg,2020-02-15,116.45,,
39106,Brandenburg,2020-02-16,112.85,,
39107,Brandenburg,2020-02-17,109.12,,
39108,Brandenburg,2020-02-18,106.55,,
39109,Brandenburg,2020-02-19,105.13,,
39110,Brandenburg,2020-02-20,105.37,,
39111,Brandenburg,2020-02-21,113.96,,
39112,Brandenburg,2020-02-22,108.49,,
39113,Brandenburg,2020-02-23,110.0,,
39114,Brandenburg,2020-02-24,104.45,,
39115,Brandenburg,2020-02-25,106.66,,
39116,Brandenburg,2020-02-26,100.85,,
39117,Brandenburg,2020-02-27,102.97,,
39118,Brandenburg,2020-02-28,112.61,,
39119,Brandenburg,2020-02-29,106.68,,
