dates,region,driving,walking,transit,date
2020-05-03,Baden-Wuerttemberg,74.89,,,2020-05-03
2020-05-04,Baden-Wuerttemberg,71.63,,,2020-05-04
2020-05-05,Baden-Wuerttemberg,71.93,,,2020-05-05
2020-05-06,Baden-Wuerttemberg,75.65,,,2020-05-06
2020-05-07,Baden-Wuerttemberg,78.94,,,2020-05-07
2020-05-08,Baden-Wuerttemberg,82.04,,,2020-05-08
2020-05-09,Baden-Wuerttemberg,75.53,,,2020-05-09
2020-05-10,Baden-Wuerttemberg,77.83,,,2020-05-10
2020-05-11,Baden-Wuerttemberg,,,,2020-05-11
2020-05-12,Baden-Wuerttemberg,,,,2020-05-12
2020-05-13,Baden-Wuerttemberg,79.57,,,2020-05-13
2020-05-14,Baden-Wuerttemberg,80.28,,,2020-05-14
2020-01-13,Bavaria,100.0,,,2020-01-13
2020-01-14,Bavaria,101.97,,,2020-01-14
2020-01-15,Bavaria,102.79,,,2020-01-15
2020-01-16,Bavaria,103.93,,,2020-01-16
2020-01-17,Bavaria,119.95,,,2020-01-17
2020-01-18,Bavaria,118.58,,,2020-01-18
2020-01-19,Bavaria,111.92,,,2020-01-19
2020-01-20,Bavaria,100.86,,,2020-01-20
2020-01-21,Bavaria,101.62,,,2020-01-21
2020-01-22,Bavaria,102.37,,,2020-01-22
2020-01-23,Bavaria,103.73,,,2020-01-23
2020-01-24,Bavaria,121.84,,,2020-01-24
2020-01-25,Bavaria,122.95,,,2020-01-25
2020-01-26,Bavaria,111.73,,,2020-01-26
2020-01-27,Bavaria,105.08,,,2020-01-27
2020-01-28,Bavaria,111.69,,,2020-01-28
2020-01-29,Bavaria,104.65,,,2020-01-29
2020-01-30,Bavaria,107.99,,,2020-01-30
2020-01-31,Bavaria,128.13,,,2020-01-31
2020-02-01,Bavaria,132.73,,,2020-02-01
2020-02-02,Bavaria,114.76,,,2020-02-02
2020-02-03,Bavaria,109.02,,,2020-02-03
2020-02-04,Bavaria,107.2,,,2020-02-04
2020-02-05,Bavaria,108.52,,,2020-02-05
2020-02-06,Bavaria,107.53,,,2020-02-06
2020-02-07,Bavaria,139.2,,,2020-02-07
2020-02-08,Bavaria,163.25,,,2020-02-08
2020-02-09,Bavaria,130.33,,,2020-02-09
2020-02-10,Bavaria,106.28,,,2020-02-10
2020-02-11,Bavaria,111.02,,,2020-02-11
2020-02-12,Bavaria,111.58,,,2020-02-12
2020-02-13,Bavaria,118.38,,,2020-02-13
2020-02-14,Bavaria,158.46,,,2020-02-14
2020-02-15,Bavaria,169.8,,,2020-02-15
2020-02-16,Bavaria,126.88,,,2020-02-16
2020-02-17,Bavaria,112.92,,,2020-02-17
2020-02-18,Bavaria,110.54,,,2020-02-18
2020-02-19,Bavaria,111.28,,,2020-02-19
2020-02-20,Bavaria,112.6,,,2020-02-20
2020-02-21,Bavaria,157.01,,,2020-02-21
2020-02-22,Bavaria,159.08,,,2020-02-22
2020-02-23,Bavaria,109.61,,,2020-02-23
2020-02-24,Bavaria,104.81,,,2020-02-24
2020-02-25,Bavaria,104.54,,,2020-02-25
2020-02-26,Bavaria,106.43,,,2020-02-26
2020-02-27,Bavaria,115.71,,,2020-02-27
2020-02-28,Bavaria,128.41,,,2020-02-28
2020-02-29,Bavaria,132.84,,,2020-02-29
2020-03-01,Bavaria,117.14,,,2020-03-01
2020-03-02,Bavaria,103.17,,,2020-03-02
2020-03-03,Bavaria,102.75,,,2020-03-03
2020-03-04,Bavaria,103.58,,,2020-03-04
2020-03-05,Bavaria,106.26,,,2020-03-05
2020-03-06,Bavaria,121.07,,,2020-03-06
2020-03-07,Bavaria,121.91,,,2020-03-07
2020-03-08,Bavaria,117.87,,,2020-03-08
2020-03-09,Bavaria,98.64,,,2020-03-09
2020-03-10,Bavaria,99.47,,,2020-03-10
2020-03-11,Bavaria,97.35,,,2020-03-11
2020-03-12,Bavaria,90.7,,,2020-03-12
2020-03-13,Bavaria,91.88,,,2020-03-13
2020-03-14,Bavaria,79.7,,,2020-03-14
2020-03-15,Bavaria,77.62,,,2020-03-15
2020-03-16,Bavaria,67.12,,,2020-03-16
2020-03-17,Bavaria,61.34,,,2020-03-17
2020-03-18,Bavaria,59.14,,,2020-03-18
2020-03-19,Bavaria,54.98,,,2020-03-19
2020-03-20,Bavaria,52.09,,,2020-03-20
2020-03-21,Bavaria,25.24,,,2020-03-21
2020-03-22,Bavaria,31.03,,,2020-03-22
2020-03-23,Bavaria,39.09,,,2020-03-23
2020-03-24,Bavaria,39.45,,,2020-03-24
2020-03-25,Bavaria,40.09,,,2020-03-25
2020-03-26,Bavaria,41.53,,,2020-03-26
2020-03-27,Bavaria,42.03,,,2020-03-27
2020-03-28,Bavaria,38.08,,,2020-03-28
2020-03-29,Bavaria,38.19,,,2020-03-29
2020-03-30,Bavaria,43.72,,,2020-03-30
2020-03-31,Bavaria,45.62,,,2020-03-31
2020-04-01,Bavaria,46.41,,,2020-04-01
2020-04-02,Bavaria,47.46,,,2020-04-02
2020-04-03,Bavaria,44.27,,,2020-04-03
2020-04-04,Bavaria,39.24,,,2020-04-04
